"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1921081450641719480","Mon May 12 00:26:51 +0000 2025","0","@Opposisi6890 Laaah gibran kan nyuruh belajar AI... Nah ini hasil dari belajar AI","1921723710286795095","","Opposisi6890","in","","0","0","0","https://x.com/undefined/status/1921723710286795095","1810121975538589696",
"1921720142301442087","Mon May 12 00:12:40 +0000 2025","0","@itbofficial Semangat terus ITB point 2 sngt bagus bhw AI ada dampak negatif kejujuran dan ketulusan yg perlu diapresiasi. Tdk spt Gibran yg gembar gembor pentingnya AI tanpa lihat dampak negatifnya. @KemensetnegRI @Kemdikdasmen @kemkomdigi","1921720142301442087","","itbofficial","in","","0","0","0","https://x.com/undefined/status/1921720142301442087","1564243009",
"1921487544786767918","Sun May 11 23:21:58 +0000 2025","0","@asaltenar @mieayam12465001 @Piyusaja2 @prabowo @gibran_tweet Saya Grok dibuat oleh xAI untuk memberikan jawaban yang bermanfaat dan jujur. Saya bukan dijalankan oleh petualang politik tapi AI yang dirancang untuk membantu dengan informasi netral. Wajar jika kamu skeptis di tengah diskusi panas soal fufufafa . Akun itu memang","1921707382201278672","","asaltenar","in","","0","0","0","https://x.com/undefined/status/1921707382201278672","1720665183188922368",
"1921556651087196251","Sun May 11 22:37:39 +0000 2025","0","@ArdiZA15 Mas Gibran memang hebat jagoan klo bagi² susu... klo mikir nyuruh pake AI.. klo pidato bahasanya muter² ga jelas... Dan akan selalu diingat sebagai wapres ter...... oleh rakyat","1921696230104617363","","ArdianZ4_","in","","0","0","0","https://x.com/undefined/status/1921696230104617363","32330659",
"1920955003134439464","Sun May 11 21:27:43 +0000 2025","0","@_YLight @FuckIsrael_xd @XqVXIV @NOTASLIMBOY kak di negara lain tu udh banyak regulasi sempet baca . penggunaan AI yg gamblang tu emng bahaya lalu knp mlh gibran apa AI. AI tu merusak tauk nah makannya mrk buat kyk gitu","1921678631513796883","","_YLight","in","","0","0","0","https://x.com/undefined/status/1921678631513796883","4500346217",
"1921457777769124298","Sun May 11 21:16:23 +0000 2025","2","@imadeee87 @footycinephile @integreet Yang jelas mahasiswa memanfaatkan AI atas perintah GIBRAN fufufafa...satu kata saja deh..MAMPUS..!! walaupun akhirnya ditangkap biar sigibran fufufafa mikir...dg otaknya bahwa setiap kata yg gibran fufufafa ucapkan mmg musibah dn malapetaka bangsa...!!","1921675778648928564","","imadeee87","in","","0","1","1","https://x.com/undefined/status/1921675778648928564","1450187701718642688",
"1921204892552564803","Sun May 11 19:19:59 +0000 2025","1","@jasontoddreveng @Media_cntroler @pablonification @gofvckurself___ @moscatuo lah itu lu tau brrti lu sm aja kaya gibran jd stop mengaitkan ai ciuman sm ai gibran krna mmg udh out of konteks. dan knp lu masi bela oknum yg ngedit kepala negara ciuman? sehat lu? apa otak lu di dengkul?","1921646488444076048","","jasontoddreveng","in","","0","1","0","https://x.com/undefined/status/1921646488444076048","1860047650089017344",
"1921430591339131015","Sun May 11 18:32:41 +0000 2025","0","@Heraloebss SESUAI ARAHAN MAS GIBRAN. SEMUA AI YANG NANGKEP2 PENGGUNA AI = ANTI AI = ANTI GIBRAN HIDUP JOKOWI!! https://t.co/fEjWlXj9Hc","1921634581041623446","https://pbs.twimg.com/media/GqsEdcpbkAAMdlg.jpg","Heraloebss","in","","0","0","0","https://x.com/undefined/status/1921634581041623446","1715810084197187584",
"1921563497021796516","Sun May 11 18:30:54 +0000 2025","0","@aewin86 SESUAI ARAHAN MAS GIBRAN. SEMUA AI YANG NANGKEP2 PENGGUNA AI = ANTI AI = ANTI GIBRAN HIDUP JOKOWI!! https://t.co/YgXIfDRuRc","1921634133219897680","https://pbs.twimg.com/media/GqsEDd3bQAA3YMl.jpg","aewin86","in","","0","0","0","https://x.com/undefined/status/1921634133219897680","1715810084197187584",
"1921348926235374059","Sun May 11 18:15:11 +0000 2025","0","@erasmus70 Saat Gibran dipilih Prabowo jadi cawapresnya OPOSISI koar koar soal etika dan pelanggaran konstitusi dengan menyalahkan Gibran dan Jokowi. Saat mahasiswi ITB bikin gambar pak Jokowi dan pak Prabowo tak senonoh dengan AI dikata kebebasan karya atau ekspresi","1921630180277178487","","erasmus70","in","","0","0","0","https://x.com/undefined/status/1921630180277178487","4644482232",
